age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,__role,__pair_id,__class,__orig_row
44.0, Private,110396.0, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Male,14084.0,0.0,56.0, United-States, >50K,anchor,291,minority,29723
54.0, ?,172991.0, HS-grad,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,19548
17.0, Private,112291.0, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,12.0, United-States, <=50K,neg,-1,majority,27719
28.0, Private,377869.0, Some-college,10.0, Married-civ-spouse, Sales, Wife, White, Female,4064.0,0.0,25.0, United-States, <=50K,neg,-1,majority,113
20.0, Private,205839.0, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,16.0, United-States, <=50K,neg,-1,majority,1214
42.0, Local-gov,227065.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,22.0, United-States, <=50K,neg,-1,majority,7399
42.0, Private,190290.0, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,pos,290,minority,14128
35.0, Private,287658.0, Some-college,10.0, Never-married, Adm-clerical, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,21873
35.0, Private,40135.0, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,30.0, United-States, <=50K,neg,-1,majority,30705
51.0, Private,95946.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,pos,155,minority,21874
26.0, Private,189238.0, 9th,5.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,38.0, El-Salvador, <=50K,neg,-1,majority,29019
21.0, Private,304949.0, Some-college,10.0, Never-married, Prof-specialty, Own-child, White, Female,0.0,0.0,10.0, United-States, <=50K,neg,-1,majority,27570
39.0, Private,209867.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,13550.0,0.0,45.0, United-States, >50K,pos,43,minority,25738
39.0, Self-emp-not-inc,134475.0, Bachelors,13.0, Divorced, Adm-clerical, Not-in-family, White, Male,0.0,1762.0,40.0, United-States, <=50K,neg,-1,majority,12807
18.0, ?,28311.0, 11th,7.0, Never-married, ?, Own-child, White, Female,0.0,0.0,35.0, United-States, <=50K,neg,-1,majority,16399
33.0, Private,221966.0, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,2202.0,0.0,50.0, United-States, <=50K,neg,-1,majority,10701
34.0, Self-emp-not-inc,349148.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,26473
36.0, Private,182863.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K,anchor,107,minority,23231
53.0, Local-gov,248834.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,50.0, United-States, >50K,anchor,317,minority,25657
39.0, Private,126161.0, Doctorate,16.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,28792
20.0, Private,203027.0, HS-grad,9.0, Never-married, Farming-fishing, Not-in-family, White, Male,0.0,0.0,55.0, United-States, <=50K,neg,-1,majority,29980
29.0, Federal-gov,182344.0, HS-grad,9.0, Married-spouse-absent, Other-service, Unmarried, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,26175
27.0, Private,86681.0, Bachelors,13.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,12379
28.0, Private,162404.0, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, Black, Male,0.0,0.0,60.0, United-States, <=50K,neg,-1,majority,16582
38.0, Private,201454.0, Some-college,10.0, Divorced, Adm-clerical, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,22205
32.0, Private,250354.0, 10th,6.0, Never-married, Craft-repair, Other-relative, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,14790
52.0, Self-emp-not-inc,194791.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,3414
37.0, Private,31023.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K,neg,-1,majority,7374
25.0, Private,222539.0, 10th,6.0, Never-married, Transport-moving, Not-in-family, White, Male,2597.0,0.0,50.0, United-States, <=50K,neg,-1,majority,31140
27.0, Private,297296.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,2485
44.0, Private,128354.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,47
45.0, Private,178922.0, 9th,5.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,15.0, United-States, <=50K,neg,-1,majority,21948
53.0, Local-gov,86600.0, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K,neg,-1,majority,21174
